Team 1,Team 2,Winner,Margin,Ground,Match Date
India,Sri Lanka,Sri Lanka,7 wickets,Dharamsala,10-12-2017
Afghanistan,Ireland,Ireland,5 wickets,Sharjah,10-12-2017
India,Sri Lanka,India,141 runs,Mohali,13-12-2017
India,Sri Lanka,India,8 wickets,Visakhapatnam,17-12-2017
New Zealand,West Indies,New Zealand,5 wickets,Whangarei,20-12-2017
New Zealand,West Indies,New Zealand,204 runs,Christchurch,23-12-2017
New Zealand,West Indies,New Zealand,66 runs,Christchurch,26-12-2017
New Zealand,Pakistan,New Zealand,61 runs,Wellington,06-01-2018
New Zealand,Pakistan,New Zealand,8 wickets,Nelson,09-01-2018
U.A.E.,Ireland,Ireland,4 wickets,ICCA Dubai,11-01-2018
New Zealand,Pakistan,New Zealand,183 runs,Dunedin,13-01-2018
U.A.E.,Ireland,Ireland,67 runs,ICCA Dubai,13-01-2018
Australia,England,England,5 wickets,Melbourne,14-01-2018
Bangladesh,Zimbabwe,Bangladesh,8 wickets,Mirpur,15-01-2018
New Zealand,Pakistan,New Zealand,5 wickets,Hamilton,16-01-2018
Ireland,Scotland,Ireland,6 wickets,ICCA Dubai,16-01-2018
Sri Lanka,Zimbabwe,Zimbabwe,12 runs,Mirpur,17-01-2018
Ireland,Scotland,Ireland,24 runs,ICCA Dubai,18-01-2018
New Zealand,Pakistan,New Zealand,15 runs,Wellington,19-01-2018
Australia,England,England,4 wickets,Brisbane,19-01-2018
Bangladesh,Sri Lanka,Bangladesh,163 runs,Mirpur,19-01-2018
Australia,England,England,16 runs,Sydney,21-01-2018
U.A.E.,Scotland,Scotland,31 runs,ICCA Dubai,21-01-2018
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Mirpur,21-01-2018
U.A.E.,Scotland,U.A.E.,4 wickets,ICCA Dubai,23-01-2018
Bangladesh,Zimbabwe,Bangladesh,91 runs,Mirpur,23-01-2018
Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Mirpur,25-01-2018
Australia,England,Australia,3 wickets,Adelaide,26-01-2018
Bangladesh,Sri Lanka,Sri Lanka,79 runs,Mirpur,27-01-2018
Australia,England,England,12 runs,Perth,28-01-2018
South Africa,India,India,6 wickets,Durban,01-02-2018
South Africa,India,India,9 wickets,Centurion,04-02-2018
South Africa,India,India,124 runs,Cape Town,07-02-2018
Afghanistan,Zimbabwe,Afghanistan,154 runs,Sharjah,09-02-2018
South Africa,India,South Africa,5 wickets,Johannesburg,10-02-2018
Afghanistan,Zimbabwe,Zimbabwe,154 runs,Sharjah,11-02-2018
Afghanistan,Zimbabwe,Afghanistan,6 wickets,Sharjah,13-02-2018
South Africa,India,India,73 runs,Gqeberha,13-02-2018
Afghanistan,Zimbabwe,Afghanistan,10 wickets,Sharjah,16-02-2018
